Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
5459;AE_A13_bretelle_5;2024-12-02T10:00:00+01:00;;;Inconnu;3233;A13_W;2859;AE_A13;Ouvert;1996-11-06;2023-01-01;48.84798974381635, 2.2520726124359323;"{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5462;AE_A4_bretelle_11;2025-07-03T12:00:00+02:00;;;Inconnu;2865;A4W;3156;Bercy_bretelles_7-11;Ouvert;1996-11-07;2023-01-01;48.82639270403309, 2.3922636521497997;"{""coordinates"": [[2.392472238153124, 48.82564016646078], [2.392089926647914, 48.82636848688473], [2.3921779059713386, 48.82677282393933], [2.3925203327652027, 48.827080538995425]], ""type"": ""LineString""}"
5459;AE_A13_bretelle_5;2025-06-02T08:00:00+02:00;;;Inconnu;3233;A13_W;2859;AE_A13;Ouvert;1996-11-06;2023-01-01;48.84798974381635, 2.2520726124359323;"{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5459;AE_A13_bretelle_5;2025-06-02T07:00:00+02:00;;;Inconnu;3233;A13_W;2859;AE_A13;Ouvert;1996-11-06;2023-01-01;48.84798974381635, 2.2520726124359323;"{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5465;AE_A3_bretelle_1;2025-05-06T16:00:00+02:00;1283.0;6.55;Fluide;3538;A3_bretelle_1;2829;AE_A3;Ouvert;1996-11-07;2023-01-01;48.86737864580919, 2.413970780415665;"{""coordinates"": [[2.4149119733885427, 48.86641218936755], [2.414365482798524, 48.86673401555847], [2.4140176954481674, 48.86709005169897], [2.413702338504967, 48.86754379667175], [2.4133898674610204, 48.86861117190189]], ""type"": ""LineString""}"
5459;AE_A13_bretelle_5;2025-06-02T06:00:00+02:00;;;Inconnu;3233;A13_W;2859;AE_A13;Ouvert;1996-11-06;2023-01-01;48.84798974381635, 2.2520726124359323;"{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5465;AE_A3_bretelle_1;2025-05-06T17:00:00+02:00;1280.0;6.45;Fluide;3538;A3_bretelle_1;2829;AE_A3;Ouvert;1996-11-07;2023-01-01;48.86737864580919, 2.413970780415665;"{""coordinates"": [[2.4149119733885427, 48.86641218936755], [2.414365482798524, 48.86673401555847], [2.4140176954481674, 48.86709005169897], [2.413702338504967, 48.86754379667175], [2.4133898674610204, 48.86861117190189]], ""type"": ""LineString""}"
5459;AE_A13_bretelle_5;2025-06-02T04:00:00+02:00;;;Inconnu;3233;A13_W;2859;AE_A13;Ouvert;1996-11-06;2023-01-01;48.84798974381635, 2.2520726124359323;"{""coordinates"": [[2.2492839800216, 48.848210588537555], [2.2498750372619276, 48.84816126006745], [2.2510105751745786, 48.84829076930316], [2.2519867143588597, 48.848329514317776], [2.252847620682472, 48.84821249875477], [2.2535402056121483, 48.847763981110646], [2.2545346481415813, 48.84683223911861]], ""type"": ""LineString""}"
5465;AE_A3_bretelle_1;2025-05-06T18:00:00+02:00;1401.0;7.15;Fluide;3538;A3_bretelle_1;2829;AE_A3;Ouvert;1996-11-07;2023-01-01;48.86737864580919, 2.413970780415665;"{""coordinates"": [[2.4149119733885427, 48.86641218936755], [2.414365482798524, 48.86673401555847], [2.4140176954481674, 48.86709005169897], [2.413702338504967, 48.86754379667175], [2.4133898674610204, 48.86861117190189]], ""type"": ""LineString""}"
5465;AE_A3_bretelle_1;2025-05-06T20:00:00+02:00;1276.0;6.35;Fluide;3538;A3_bretelle_1;2829;AE_A3;Ouvert;1996-11-07;2023-01-01;48.86737864580919, 2.413970780415665;"{""coordinates"": [[2.4149119733885427, 48.86641218936755], [2.414365482798524, 48.86673401555847], [2.4140176954481674, 48.86709005169897], [2.413702338504967, 48.86754379667175], [2.4133898674610204, 48.86861117190189]], ""type"": ""LineString""}"
5465;AE_A3_bretelle_1;2025-05-06T21:00:00+02:00;1226.0;6.0;Fluide;3538;A3_bretelle_1;2829;AE_A3;Ouvert;1996-11-07;2023-01-01;48.86737864580919, 2.413970780415665;"{""coordinates"": [[2.4149119733885427, 48.86641218936755], [2.414365482798524, 48.86673401555847], [2.4140176954481674, 48.86709005169897], [2.413702338504967, 48.86754379667175], [2.4133898674610204, 48.86861117190189]], ""type"": ""LineString""}"
5465;AE_A3_bretelle_1;2025-05-06T22:00:00+02:00;1264.0;6.55;Fluide;3538;A3_bretelle_1;2829;AE_A3;Ouvert;1996-11-07;2023-01-01;48.86737864580919, 2.413970780415665;"{""coordinates"": [[2.4149119733885427, 48.86641218936755], [2.414365482798524, 48.86673401555847], [2.4140176954481674, 48.86709005169897], [2.413702338504967, 48.86754379667175], [2.4133898674610204, 48.86861117190189]], ""type"": ""LineString""}"
5482;A3_bretelle_1;2025-02-03T13:00:00+01:00;;;Inconnu;2875;Bagnolet_bretelles_1-6;3538;A3_bretelle_1;Ouvert;1996-11-08;2023-01-01;48.86588209056, 2.418085012157434;"{""coordinates"": [[2.421290489346583, 48.865899578530374], [2.4206712341039225, 48.86580365409939], [2.419740137482431, 48.865665528921824], [2.4187736369189, 48.86566126186211], [2.4176833049842372, 48.86578522372191], [2.416251572315637, 48.866070129276466], [2.415460236345195, 48.86624159292539], [2.4149119733885427, 48.86641218936755]], ""type"": ""LineString""}"
5482;A3_bretelle_1;2025-02-03T12:00:00+01:00;;;Inconnu;2875;Bagnolet_bretelles_1-6;3538;A3_bretelle_1;Ouvert;1996-11-08;2023-01-01;48.86588209056, 2.418085012157434;"{""coordinates"": [[2.421290489346583, 48.865899578530374], [2.4206712341039225, 48.86580365409939], [2.419740137482431, 48.865665528921824], [2.4187736369189, 48.86566126186211], [2.4176833049842372, 48.86578522372191], [2.416251572315637, 48.866070129276466], [2.415460236345195, 48.86624159292539], [2.4149119733885427, 48.86641218936755]], ""type"": ""LineString""}"
5472;AE_A1_bretelle_8;2025-05-06T16:00:00+02:00;;;Inconnu;3557;Chapelle_bretelle_8;2839;AE_A1_bretelle_8;Ouvert;1996-11-07;2023-01-01;48.901200511043655, 2.3577520024414915;"{""coordinates"": [[2.358578214828629, 48.90154434553154], [2.3585512129060717, 48.90147178816462], [2.3582134193458413, 48.90126600515251], [2.3575715954017964, 48.901127945854455], [2.3568381944809897, 48.90103476176079]], ""type"": ""LineString""}"
5472;AE_A1_bretelle_8;2025-05-06T17:00:00+02:00;;;Inconnu;3557;Chapelle_bretelle_8;2839;AE_A1_bretelle_8;Ouvert;1996-11-07;2023-01-01;48.901200511043655, 2.3577520024414915;"{""coordinates"": [[2.358578214828629, 48.90154434553154], [2.3585512129060717, 48.90147178816462], [2.3582134193458413, 48.90126600515251], [2.3575715954017964, 48.901127945854455], [2.3568381944809897, 48.90103476176079]], ""type"": ""LineString""}"
